Year,Month,Day,Hour,Min,Ararat,Ararat Edits,Boco,Boco Edits,Silverton,Silverton Edits
2020,3,22,7,30,5.959800,0,1.254000,0,4.633200,0
2020,3,22,7,40,5.405400,0,1.339800,0,5.134800,0
2020,3,22,7,50,5.042400,0,1.392600,0,5.438400,0
2020,3,22,8,0,4.818000,0,1.465200,0,5.689200,0
2020,3,22,8,10,4.699200,0,1.551000,0,6.006000,0
2020,3,22,8,20,4.732200,0,1.636800,0,6.336000,0
2020,3,22,8,30,4.884000,0,1.735800,0,6.679200,0
2020,3,22,8,40,5.266800,0,1.834800,0,7.022400,0
2020,3,22,8,50,5.570400,0,1.881000,0,7.319400,0
2020,3,22,9,0,5.781600,0,1.894200,0,7.570200,0
2020,3,22,9,10,5.887200,0,1.874400,0,7.834200,0
2020,3,22,9,20,5.959800,0,1.821600,0,8.131200,0
2020,3,22,9,30,5.761800,0,1.768800,0,8.507400,0
2020,3,22,9,40,5.431800,0,1.749000,0,8.784600,0
2020,3,22,9,50,5.273400,0,1.729200,0,8.811000,0
2020,3,22,10,0,4.811400,0,1.716000,0,8.632800,0
2020,3,22,10,10,4.593600,0,1.702800,0,8.441400,0
2020,3,22,10,20,4.547400,0,1.702800,0,8.316000,0
2020,3,22,10,30,4.521000,0,1.709400,0,8.164200,0
2020,3,22,10,40,4.362600,0,1.762200,0,8.032200,0
2020,3,22,10,50,4.342800,0,1.828200,0,7.913400,0
2020,3,22,11,0,4.600200,0,1.854600,0,7.814400,0
2020,3,22,11,10,4.950000,0,1.854600,0,7.781400,0
2020,3,22,11,20,4.851000,0,1.900800,0,7.774800,0
2020,3,22,11,30,4.171200,0,1.966800,0,7.761600,0
2020,3,22,11,40,3.597000,0,2.026200,0,7.741800,0
2020,3,22,11,50,3.755400,0,2.079000,0,7.761600,0
2020,3,22,12,0,4.164600,0,2.151600,0,7.867200,0
2020,3,22,12,10,4.580400,0,2.224200,0,8.118000,0
2020,3,22,12,20,4.976400,0,2.277000,0,8.388600,0
2020,3,22,12,30,5.207400,0,2.343000,0,8.672400,0
2020,3,22,12,40,5.247000,0,2.428800,0,8.976000,0
2020,3,22,12,50,5.247000,0,2.488200,0,9.299400,0
2020,3,22,13,0,5.398800,0,2.554200,0,9.556800,0
2020,3,22,13,10,5.629800,0,2.527800,0,9.675600,0
2020,3,22,13,20,5.821200,0,2.376000,0,9.761400,0
2020,3,22,13,30,5.900400,0,2.343000,0,9.913200,0
2020,3,22,13,40,5.821200,0,2.237400,0,10.098000,0
2020,3,22,13,50,5.695800,0,2.158200,0,10.322400,0
2020,3,22,14,0,5.709000,0,2.191200,0,10.546800,0
2020,3,22,14,10,5.775000,0,1.848000,0,10.725000,0
2020,3,22,14,20,5.748600,0,1.577400,0,10.850400,0
2020,3,22,14,30,5.682600,0,1.346400,0,10.969200,0
2020,3,22,14,40,5.761800,0,1.042800,0,11.134200,0
2020,3,22,14,50,5.959800,0,1.003200,0,11.266200,0
2020,3,22,15,0,6.078600,0,0.897600,0,11.332200,0
2020,3,22,15,10,6.157800,0,0.719400,0,11.338800,0
2020,3,22,15,20,6.223800,0,0.607200,0,11.312400,0
2020,3,22,15,30,6.263400,0,0.501600,0,11.239800,0
2020,3,22,15,40,6.342600,0,0.455400,0,11.134200,0
2020,3,22,15,50,6.382200,0,0.369600,0,11.041800,0
2020,3,22,16,0,6.329400,0,0.389400,0,10.975800,0
2020,3,22,16,10,6.237000,0,0.495000,0,10.870200,0
2020,3,22,16,20,6.052200,0,0.594000,0,10.718400,0
2020,3,22,16,30,5.808000,0,0.818400,0,10.573200,0
2020,3,22,16,40,5.623200,0,0.937200,0,10.467600,0
2020,3,22,16,50,5.537400,0,0.871200,0,10.434600,0
2020,3,22,17,0,5.517600,0,0.877800,0,10.447800,0
2020,3,22,17,10,5.451600,0,0.884400,0,10.441200,0
2020,3,22,17,20,5.372400,0,0.864600,0,10.408200,0
2020,3,22,17,30,5.319600,0,0.798600,0,10.381800,0
2020,3,22,17,40,5.306400,0,0.726000,0,10.375200,0
2020,3,22,17,50,5.286600,0,0.567600,0,10.401600,0
2020,3,22,18,0,5.319600,0,0.303600,0,10.441200,0
2020,3,22,18,10,5.392200,0,0.464200,1,10.474200,0
2020,3,22,18,20,5.438400,0,0.264000,0,10.507200,0
2020,3,22,18,30,5.471400,0,0.429000,0,10.513800,0
2020,3,22,18,40,5.511000,0,0.271700,1,10.494000,0
2020,3,22,18,50,5.537400,0,0.303600,0,10.428000,0
2020,3,22,19,0,5.517600,0,0.138600,0,10.355400,0
2020,3,22,19,10,5.458200,0,0.409200,0,10.289400,0
2020,3,22,19,20,5.372400,0,0.475200,0,10.230000,0
2020,3,22,19,30,5.321800,1,0.514800,0,10.177200,0
2020,3,22,19,40,5.214000,0,0.666600,0,10.131000,0
2020,3,22,19,50,5.200800,0,0.805200,0,10.084800,0
2020,3,22,20,0,5.167800,0,0.851400,0,9.999000,0
2020,3,22,20,10,5.095200,0,0.798600,0,9.880200,0
2020,3,22,20,20,4.976400,0,0.924000,0,9.754800,0
2020,3,22,20,30,4.877400,0,1.181400,0,9.622800,0
2020,3,22,20,40,4.778400,0,1.062600,0,9.471000,0
2020,3,22,20,50,4.719000,0,0.884400,0,9.306000,0
2020,3,22,21,0,4.646400,0,0.917400,0,9.147600,0
2020,3,22,21,10,4.626600,0,1.108800,0,8.995800,0
2020,3,22,21,20,4.573800,0,0.580800,0,8.857200,0
2020,3,22,21,30,4.554000,0,0.818400,0,8.738400,0
2020,3,22,21,40,4.514400,0,0.429000,0,8.665800,0
2020,3,22,21,50,4.514400,0,0.290400,0,8.626200,0
2020,3,22,22,0,4.547400,0,0.336600,0,8.613000,0
2020,3,22,22,10,4.593600,0,0.495000,0,8.593200,0
2020,3,22,22,20,4.679400,0,0.778800,0,8.553600,0
2020,3,22,22,30,4.778400,0,1.141800,0,8.527200,0
2020,3,22,22,40,4.903800,0,1.623600,0,8.538200,1
2020,3,22,22,50,5.055600,0,1.854600,0,8.507400,0
2020,3,22,23,0,5.187600,0,1.353000,0,8.507400,0
2020,3,22,23,10,5.286600,0,0.990000,0,8.540400,0
2020,3,22,23,20,5.352600,0,0.957000,0,8.573400,0
2020,3,22,23,30,5.418600,0,1.029600,0,8.580000,0
2020,3,22,23,40,5.458200,0,1.062600,0,8.560200,0
2020,3,22,23,50,5.458200,0,1.168200,0,8.547000,0
2020,3,23,0,0,5.458200,0,1.168200,0,8.540400,0
2020,3,23,0,10,5.471400,0,0.976800,0,8.540400,0
2020,3,23,0,20,5.484600,0,0.765600,0,8.553600,0
2020,3,23,0,30,5.537400,0,0.613800,0,8.560200,0
2020,3,23,0,40,5.583600,0,0.448800,0,8.599800,0
2020,3,23,0,50,5.649600,0,0.323400,0,8.672400,0
2020,3,23,1,0,5.728800,0,0.217800,0,8.751600,0
2020,3,23,1,10,5.814600,0,0.264000,0,8.824200,0
2020,3,23,1,20,5.920200,0,0.257400,0,8.910000,0
2020,3,23,1,30,6.052200,0,0.118800,0,8.976000,0
2020,3,23,1,40,6.177600,0,0.178200,0,9.022200,0
2020,3,23,1,50,6.276600,0,0.277200,0,9.081600,0
2020,3,23,2,0,6.342600,0,0.217800,0,9.154200,0
2020,3,23,2,10,6.369000,0,0.204600,0,9.246600,0
2020,3,23,2,20,6.375600,0,0.211200,0,9.365400,0
2020,3,23,2,30,6.382200,0,0.303600,0,9.537000,0
2020,3,23,2,40,6.375600,0,0.330000,0,9.728400,0
2020,3,23,2,50,6.336000,0,0.363000,0,9.919800,0
2020,3,23,3,0,6.276600,0,0.396000,0,10.084800,0
2020,3,23,3,10,6.217200,0,0.442200,0,10.223400,0
2020,3,23,3,20,6.164400,0,0.541200,0,10.348800,0
2020,3,23,3,30,6.124800,0,0.607200,0,10.494000,0
2020,3,23,3,40,6.111600,0,0.693000,0,10.626000,0
2020,3,23,3,50,6.118200,0,0.752400,0,10.751400,0
2020,3,23,4,0,6.124800,0,0.712800,0,10.837200,0
2020,3,23,4,10,6.131400,0,0.561000,0,10.896600,0
2020,3,23,4,20,6.131400,0,0.191400,0,10.903200,0
2020,3,23,4,30,6.111600,0,0.118800,0,10.863600,0
2020,3,23,4,40,6.098400,0,0.224400,0,10.837200,0
2020,3,23,4,50,6.085200,0,0.310200,0,10.784400,0
2020,3,23,5,0,6.091800,0,0.257400,0,10.705200,0
2020,3,23,5,10,6.105000,0,0.171600,0,10.626000,0
2020,3,23,5,20,6.072000,0,0.158400,0,10.507200,0
2020,3,23,5,30,6.045600,0,0.171600,0,10.388400,0
2020,3,23,5,40,6.025800,0,0.310200,0,10.289400,0
2020,3,23,5,50,5.973000,0,0.607200,0,10.183800,0
2020,3,23,6,0,5.926800,0,0.627000,0,10.084800,0
2020,3,23,6,10,5.893800,0,0.706200,0,9.985800,0
2020,3,23,6,20,5.841000,0,0.264000,0,9.900000,0
2020,3,23,6,30,5.827800,0,0.323400,0,9.847200,0
2020,3,23,6,40,5.775000,0,0.409200,0,9.787800,0
2020,3,23,6,50,5.755200,0,0.376200,0,9.768000,0
2020,3,23,7,0,5.702400,0,0.264000,0,9.781200,0
2020,3,23,7,10,5.656200,0,0.336600,0,9.781200,0
2020,3,23,7,20,5.636400,0,0.600600,0,9.748200,0
2020,3,23,7,30,5.623200,0,0.686400,0,9.655800,0
2020,3,23,7,40,5.577000,1,0.336600,0,9.669000,0
2020,3,23,7,50,5.563800,0,0.442200,0,9.688800,0
2020,3,23,8,0,5.517600,0,0.462000,0,9.655800,0
2020,3,23,8,10,5.464800,0,0.462000,0,9.589800,0
2020,3,23,8,20,5.438400,0,0.429000,0,9.543600,0
2020,3,23,8,30,5.412000,0,0.349800,0,9.490800,0
2020,3,23,8,40,5.405400,0,0.382800,0,9.464400,0
2020,3,23,8,50,5.385600,0,0.455400,0,9.438000,0
2020,3,23,9,0,5.359200,0,0.580800,0,9.477600,0
2020,3,23,9,10,5.332800,0,0.633600,0,9.563400,0
2020,3,23,9,20,5.293200,0,0.706200,0,9.669000,0
2020,3,23,9,30,5.227200,0,0.679800,0,9.787800,0
2020,3,23,9,40,5.161200,0,0.732600,0,9.867000,0
2020,3,23,9,50,5.108400,0,0.831600,0,9.867000,0
2020,3,23,10,0,5.068800,0,0.851400,0,9.840600,0
2020,3,23,10,10,5.035800,0,0.785400,0,9.886800,0
2020,3,23,10,20,4.969800,0,0.653400,0,9.919800,0
2020,3,23,10,30,4.910400,0,0.594000,0,9.946200,0
2020,3,23,10,40,4.857600,0,0.567600,0,9.926400,0
2020,3,23,10,50,4.831200,0,0.574200,0,9.867000,0
2020,3,23,11,0,4.818000,0,0.673200,0,9.761400,0
2020,3,23,11,10,4.804800,0,0.719400,0,9.695400,0
2020,3,23,11,20,4.824600,0,0.792000,0,9.669000,0
2020,3,23,11,30,4.864200,0,0.871200,0,9.616200,0
2020,3,23,11,40,4.903800,0,0.963600,0,9.596400,0
2020,3,23,11,50,4.976400,0,1.128600,0,9.715200,0
2020,3,23,12,0,5.009400,0,1.201200,0,9.781200,0
2020,3,23,12,10,5.016000,0,1.333200,0,9.946200,0
2020,3,23,12,20,5.029200,0,1.663200,0,10.098000,0
2020,3,23,12,30,5.042400,0,1.775400,0,10.249800,0
2020,3,23,12,40,5.049000,0,1.960200,0,10.375200,0
2020,3,23,12,50,5.062200,0,2.032800,0,10.454400,0
2020,3,23,13,0,5.055600,0,2.092200,0,10.513800,0
2020,3,23,13,10,5.062200,0,2.131800,0,10.540200,0
2020,3,23,13,20,5.068800,0,2.191200,0,10.560000,0
2020,3,23,13,30,5.068800,0,2.270400,0,10.560000,0
2020,3,23,13,40,5.042400,0,2.283600,0,10.546800,0
2020,3,23,13,50,5.002800,0,2.303400,0,10.533600,0
2020,3,23,14,0,4.963200,0,2.290200,0,10.494000,0
2020,3,23,14,10,4.897200,0,2.283600,0,10.441200,0
2020,3,23,14,20,4.831200,0,2.296800,0,10.434600,0
2020,3,23,14,30,4.785000,0,2.329800,0,10.474200,0
2020,3,23,14,40,4.752000,0,2.389200,0,10.520400,0
2020,3,23,14,50,4.725600,0,2.448600,0,10.553400,0
2020,3,23,15,0,4.705800,0,2.534400,0,10.527000,0
2020,3,23,15,10,4.692600,0,2.580600,0,10.546800,0
2020,3,23,15,20,4.686000,0,2.626800,0,10.586400,0
2020,3,23,15,30,4.705800,0,2.679600,0,10.698600,0
2020,3,23,15,40,4.725600,0,2.719200,0,10.810800,0
2020,3,23,15,50,4.778400,0,2.699400,0,10.936200,0
2020,3,23,16,0,4.824600,0,2.640000,0,11.068200,0
2020,3,23,16,10,4.864200,0,2.567400,0,11.259600,0
2020,3,23,16,20,4.890600,0,2.448600,0,11.431200,0
2020,3,23,16,30,4.910400,0,2.303400,0,11.530200,0
2020,3,23,16,40,4.917000,0,2.158200,0,11.596200,0
2020,3,23,16,50,4.923600,0,2.072400,0,11.635800,0
2020,3,23,17,0,4.930200,0,1.999800,0,11.635800,0
2020,3,23,17,10,4.930200,0,1.874400,0,11.616000,0
2020,3,23,17,20,4.923600,0,1.755600,0,11.635800,0
2020,3,23,17,30,4.897200,0,1.617000,0,11.728200,0
2020,3,23,17,40,4.864200,0,1.339800,0,11.734800,0
2020,3,23,17,50,4.811400,0,1.405800,0,11.701800,0
2020,3,23,18,0,4.752000,0,1.452000,0,11.629200,0
2020,3,23,18,10,4.666200,0,1.227600,0,11.543400,0
2020,3,23,18,20,4.560600,0,1.003200,0,11.444400,0
2020,3,23,18,30,4.428600,0,0.831600,0,11.286000,0
2020,3,23,18,40,4.283400,0,0.594000,0,11.180400,0
2020,3,23,18,50,4.118400,0,0.660000,0,11.094600,0
2020,3,23,19,0,3.986400,0,0.765600,0,11.008800,0
2020,3,23,19,10,3.867600,0,0.772200,0,10.929600,0
2020,3,23,19,20,3.788400,0,0.970200,0,10.751400,0
2020,3,23,19,30,3.742200,0,1.075800,0,10.586400,0
2020,3,23,19,40,3.722400,0,1.029600,0,10.414800,0
2020,3,23,19,50,3.709200,0,1.049400,0,10.362000,0
2020,3,23,20,0,3.689400,0,1.122000,0,10.362000,0
2020,3,23,20,10,3.669600,0,1.102200,0,10.263000,0
2020,3,23,20,20,3.623400,0,1.036200,0,10.282800,0
2020,3,23,20,30,3.557400,0,1.306800,0,10.243200,0
2020,3,23,20,40,3.471600,0,1.518000,0,10.032000,0
2020,3,23,20,50,3.359400,0,1.610400,0,10.216800,0
2020,3,23,21,0,3.220800,0,1.689600,0,10.289400,0
2020,3,23,21,10,3.062400,0,1.782000,0,10.223400,0
2020,3,23,21,20,2.897400,0,1.887600,0,9.900000,0
2020,3,23,21,30,2.745600,0,1.953600,0,9.682200,0
2020,3,23,21,40,2.600400,0,1.848000,0,9.530400,0
2020,3,23,21,50,2.481600,0,1.696200,0,9.424800,0
2020,3,23,22,0,2.369400,0,1.643400,0,9.319200,0
2020,3,23,22,10,2.270400,0,1.722600,0,9.266400,0
2020,3,23,22,20,2.204400,0,1.808400,0,9.292800,0
2020,3,23,22,30,2.171400,0,1.907400,0,9.246600,0
2020,3,23,22,40,2.171400,0,2.019600,0,9.160800,0
2020,3,23,22,50,2.197800,0,2.032800,0,9.042000,0
2020,3,23,23,0,2.230800,0,1.927200,0,8.896800,0
2020,3,23,23,10,2.250600,0,1.874400,0,8.692200,0
2020,3,23,23,20,2.263800,0,1.689600,0,8.481000,0
2020,3,23,23,30,2.244000,0,1.207800,0,8.296200,0
2020,3,23,23,40,2.230800,0,1.346400,0,8.157600,0
2020,3,23,23,50,2.244000,0,1.438800,0,8.045400,0
2020,3,24,0,0,2.296800,0,1.570800,0,7.966200,0
2020,3,24,0,10,2.395800,0,1.610400,0,7.900200,0
2020,3,24,0,20,2.547600,0,1.617000,0,7.847400,0
2020,3,24,0,30,2.752200,0,1.564200,0,7.768200,0
2020,3,24,0,40,2.970000,0,1.524600,0,7.675800,0
2020,3,24,0,50,3.181200,0,1.485000,0,7.629600,0
2020,3,24,1,0,3.392400,0,1.267200,0,7.603200,0
2020,3,24,1,10,3.583800,0,1.194600,0,7.576800,0
2020,3,24,1,20,3.748800,0,0.910800,0,7.550400,0
2020,3,24,1,30,3.920400,0,0.844800,0,7.517400,0
2020,3,24,1,40,4.092000,0,1.016400,0,7.411800,0
2020,3,24,1,50,4.263600,0,0.990000,0,7.266600,0
2020,3,24,2,0,4.428600,0,0.990000,0,7.101600,0
2020,3,24,2,10,4.580400,0,0.891000,0,6.969600,0
2020,3,24,2,20,4.712400,0,0.792000,0,6.877200,0
2020,3,24,2,30,4.824600,0,0.726000,0,6.745200,0
2020,3,24,2,40,4.910400,0,0.739200,0,6.633000,0
2020,3,24,2,50,4.976400,0,0.574200,0,6.553800,0
2020,3,24,3,0,5.082000,0,0.343200,0,6.514200,0
2020,3,24,3,10,5.260200,0,0.442200,0,6.468000,0
2020,3,24,3,20,5.405400,0,0.613800,0,6.408600,0
2020,3,24,3,30,5.478000,0,0.607200,0,6.329400,0
